id,eventId,minute,second,period,team,playerId,player_name,x_coord,y_coord,end_x,end_y,event_type,outcome,isGoal,isShot,pass_end_x,pass_end_y,pass_angle,pass_length,is_longball,is_chipped,is_cross,is_throughball,is_headpass,is_freekick,is_corner,is_throwin,is_header,is_penalty,is_goalkick
2848483613.0,2,0,0.0,FirstHalf,FC Heidenheim,,,0.0,0.0,,,Start,Successful,,,,,,,False,False,False,False,False,False,False,False,False,False,
2848483619.0,2,0,0.0,FirstHalf,Hamburg,,,0.0,0.0,,,Start,Successful,,,,,,,False,False,False,False,False,False,False,False,False,False,
2848483681.0,3,0,0.0,FirstHalf,Hamburg,389899.0,Ransford Königsdörffer,50.0,50.0,34.5,49.7,Pass,Successful,,,34.5,49.7,3.15,16.3,False,False,False,False,False,False,False,False,False,False,
2848483753.0,4,0,4.0,FirstHalf,Hamburg,401743.0,Miro Muheim,34.7,49.4,69.0,0.0,Pass,Unsuccessful,,,69.0,0.0,5.52,49.9,True,False,False,False,False,False,False,False,False,False,
2848484053.0,4,0,19.0,FirstHalf,FC Heidenheim,280715.0,Jonas Föhrenbach,34.6,100.0,37.2,90.3,Pass,Successful,,,37.2,90.3,5.04,8.4,False,False,False,False,False,False,False,True,False,False,
2848484077.0,5,0,21.0,FirstHalf,FC Heidenheim,401079.0,Jan Schöppner,34.6,91.4,29.4,96.6,Pass,Successful,,,29.4,96.6,2.57,6.5,False,False,False,False,False,False,False,False,False,False,
2848484181.0,6,0,23.0,FirstHalf,FC Heidenheim,280715.0,Jonas Föhrenbach,29.4,96.6,12.7,85.6,Pass,Successful,,,12.7,85.6,3.54,19.1,False,False,False,False,False,False,False,False,False,False,
2848484219.0,7,0,27.0,FirstHalf,FC Heidenheim,291623.0,Benedikt Gimber,18.1,90.9,41.9,67.5,Pass,Unsuccessful,,,41.9,67.5,5.72,29.6,True,False,False,False,False,False,False,False,False,False,
2848484247.0,6,0,29.0,FirstHalf,Hamburg,485118.0,Nicolai Remberg,56.7,26.8,58.1,4.3,Pass,Successful,,,58.1,4.3,4.81,15.4,False,False,False,False,False,False,False,False,False,False,
2848484275.0,7,0,30.0,FirstHalf,Hamburg,460456.0,Giorgi Gocholeishvili,60.0,2.9,,,BallRecovery,Successful,,,,,,,False,False,False,False,False,False,False,False,False,False,
2848484427.0,8,0,32.0,FirstHalf,Hamburg,460456.0,Giorgi Gocholeishvili,60.8,2.5,42.6,6.7,Pass,Successful,,,42.6,6.7,2.99,19.3,False,False,False,False,False,False,False,False,False,False,
2848484515.0,9,0,37.0,FirstHalf,Hamburg,405170.0,Warmed Omari,42.8,11.0,35.8,56.7,Pass,Successful,,,35.8,56.7,1.80,31.9,False,False,False,False,False,False,False,False,False,False,
2848484553.0,10,0,40.0,FirstHalf,Hamburg,442403.0,Daniel Elfadli,38.5,66.2,54.1,92.3,Pass,Successful,,,54.1,92.3,0.83,24.2,False,False,False,False,False,False,False,False,False,False,
2848484605.0,11,0,42.0,FirstHalf,Hamburg,401743.0,Miro Muheim,52.4,90.0,38.1,77.7,Pass,Successful,,,38.1,77.7,3.65,17.2,False,False,False,False,False,False,False,False,False,False,
2848484681.0,12,0,45.0,FirstHalf,Hamburg,442403.0,Daniel Elfadli,38.1,77.7,34.8,42.1,Pass,Successful,,,34.8,42.1,4.57,24.5,False,False,False,False,False,False,False,False,False,False,
2848484771.0,13,0,49.0,FirstHalf,Hamburg,533010.0,Luka Vuskovic,40.5,34.4,57.7,35.3,Pass,Successful,,,57.7,35.3,0.03,18.1,False,False,False,False,False,False,False,False,False,False,
2848484871.0,14,0,53.0,FirstHalf,Hamburg,394924.0,Fábio Vieira,55.3,43.0,62.3,94.7,Pass,Successful,,,62.3,94.7,1.36,35.9,True,False,False,False,False,False,False,False,False,False,
2848484923.0,15,0,57.0,FirstHalf,Hamburg,234353.0,Jean-Luc Dompé,66.0,90.0,60.4,72.9,Pass,Successful,,,60.4,72.9,4.24,13.0,False,False,False,False,False,False,False,False,False,False,
2848485003.0,16,1,0.0,FirstHalf,Hamburg,485118.0,Nicolai Remberg,60.0,70.8,54.2,40.0,Pass,Successful,,,54.2,40.0,4.43,21.8,False,False,False,False,False,False,False,False,False,False,
2848485053.0,17,1,3.0,FirstHalf,Hamburg,533010.0,Luka Vuskovic,58.3,32.9,66.8,8.8,Pass,Successful,,,66.8,8.8,5.21,18.7,False,False,False,False,False,False,False,False,False,False,
2848485137.0,18,1,5.0,FirstHalf,Hamburg,405170.0,Warmed Omari,67.9,8.0,72.8,13.0,Pass,Successful,,,72.8,13.0,0.58,6.2,False,False,False,False,False,False,False,False,False,False,
2848485147.0,19,1,9.0,FirstHalf,Hamburg,389899.0,Ransford Königsdörffer,72.3,13.7,58.6,28.4,Pass,Successful,,,58.6,28.4,2.53,17.5,False,False,False,False,False,False,False,False,False,False,
2848485259.0,20,1,12.0,FirstHalf,Hamburg,533010.0,Luka Vuskovic,54.8,32.5,48.0,55.2,Pass,Successful,,,48.0,55.2,2.00,17.0,False,False,False,False,False,False,False,False,False,False,
2848485353.0,21,1,15.0,FirstHalf,Hamburg,442403.0,Daniel Elfadli,53.2,41.9,69.7,3.1,Pass,Successful,,,69.7,3.1,5.29,31.6,False,False,False,False,False,False,False,False,False,False,
2848485389.0,22,1,19.0,FirstHalf,Hamburg,460456.0,Giorgi Gocholeishvili,76.0,3.5,86.3,12.8,Pass,Successful,,,86.3,12.8,0.53,12.5,False,False,False,False,False,False,False,False,False,False,
2848485407.0,23,1,20.0,FirstHalf,Hamburg,389899.0,Ransford Königsdörffer,90.7,14.8,90.8,31.4,Pass,Unsuccessful,,,90.8,31.4,1.56,11.3,False,False,True,False,False,False,False,False,False,False,
2848485519.0,8,1,21.0,FirstHalf,FC Heidenheim,291623.0,Benedikt Gimber,10.4,62.1,28.7,72.9,Clearance,Successful,,,28.7,72.9,0.37,20.6,False,False,False,False,False,False,False,False,False,False,
2848785123.0,799,1,23.0,FirstHalf,FC Heidenheim,430704.0,Arijon Ibrahimovic,26.3,80.4,,,BallRecovery,Successful,,,,,,,False,False,False,False,False,False,False,False,False,False,
2848485543.0,9,1,23.0,FirstHalf,FC Heidenheim,430704.0,Arijon Ibrahimovic,28.9,76.9,29.8,62.4,Pass,Unsuccessful,,,29.8,62.4,4.81,9.9,False,False,False,False,False,False,False,False,False,False,
2848485541.0,24,1,25.0,FirstHalf,Hamburg,485118.0,Nicolai Remberg,69.1,36.0,68.9,24.2,Pass,Successful,,,68.9,24.2,4.69,8.0,False,False,False,False,False,False,False,False,False,False,
2848485551.0,25,1,26.0,FirstHalf,Hamburg,405170.0,Warmed Omari,69.8,26.6,,,BallRecovery,Successful,,,,,,,False,False,False,False,False,False,False,False,False,False,
