playerId,shirtNo,name,position,team_name,field,age,height,weight,isFirstEleven,minutes_played,isManOfTheMatch,totalSaves,collected,parriedSafe,parriedDanger,claimsHigh,possession,final_rating,clearances,touches,passesTotal,passesAccurate,passSuccess,shotsTotal,shotsOnTarget,shotsOffTarget,aerialsTotal,aerialsWon,aerialSuccess,offensiveAerials,defensiveAerials,foulsCommited,tacklesTotal,tackleSuccessful,tackleSuccess,errors,passesKey,dribblesWon,dribblesAttempted,dribbleSuccess,shotsBlocked,interceptions,throwInsTotal,throwInsAccurate,dribblesLost,cornersAccurate,tackleUnsuccesful,dribbledPast,cornersTotal,offsidesCaught,dispossessed,shotsOnPost,throwInAccuracy
132896,1,Daniel Heuer Fernandes,GK,Hamburg,home,32,188,81,True,,False,6.0,1.0,1.0,4.0,2.0,37.0,8.16,2.0,48.0,34.0,21.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533010,44,Luka Vuskovic,DC,Hamburg,home,18,193,86,True,,True,,,,,,66.0,8.38,14.0,89.0,66.0,54.0,3075.0,2.0,1.0,1.0,7.0,6.0,0.0,1.0,6.0,1.0,1.0,1.0,100.0,1.0,,,,,,,,,,,,,,,,,
405170,17,Warmed Omari,DC,Hamburg,home,25,188,74,True,,False,,,,,,37.0,6.3,6.0,44.0,37.0,34.0,2500.0,,,,5.0,2.0,100.0,1.0,4.0,1.0,,,,1.0,1.0,1.0,1.0,100.0,,,,,,,,,,,,,
442403,8,Daniel Elfadli,DC,Hamburg,home,28,188,78,True,,False,,,,,,50.0,6.28,2.0,60.0,50.0,49.0,2750.0,1.0,,,5.0,1.0,0.0,,5.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
460456,16,Giorgi Gocholeishvili,DMR,Hamburg,home,24,178,0,True,,False,,,,,,22.0,7.18,4.0,48.0,19.0,17.0,1700.0,3.0,,1.0,,,,,,,1.0,1.0,100.0,,,2.0,3.0,200.0,2.0,1.0,6.0,5.0,1.0,,,,,,,,
401743,28,Miro Muheim,DML,Hamburg,home,27,182,77,True,,False,,,,,,54.0,7.04,2.0,69.0,51.0,43.0,2300.0,,,,2.0,,,,2.0,1.0,4.0,3.0,300.0,,4.0,,,,,,6.0,6.0,,1.0,1.0,1.0,,,,,
485118,21,Nicolai Remberg,MC,Hamburg,home,25,187,88,True,,False,,,,,,42.0,6.75,5.0,53.0,42.0,39.0,2300.0,1.0,1.0,,3.0,1.0,0.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
394924,20,Fábio Vieira,MC,Hamburg,home,25,170,58,True,,False,,,,,,28.0,7.88,1.0,41.0,28.0,27.0,1975.0,4.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,3.0,1.0,2.0,100.0,1.0,,,,1.0,,,,,,,,
380644,14,Rayan Philippe,FWR,Hamburg,home,25,182,78,True,,False,,,,,,14.0,7.35,,25.0,11.0,8.0,700.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,5.0,3.0,300.0,,1.0,,,,,,,,,,2.0,2.0,,,,,
389899,11,Ransford Königsdörffer,FW,Hamburg,home,24,182,78,True,,False,,,,,,20.0,7.29,1.0,30.0,18.0,16.0,1550.0,4.0,3.0,1.0,5.0,3.0,0.0,3.0,2.0,,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,1.0,2.0,,
