Activity_ID,date,date_iso,label,team_name,athlete_id,athlete_name,activity_name,period_id,period_name,content_type,start_time,end_time,field_time,total_duration,total_distance,meterage_per_minute,total_player_load,peak_player_load,player_load_per_minute,max_vel,max_effort_deceleration,deceleration_per_minute,velocity_band1_total_distance,velocity_band2_total_distance,velocity_band3_total_distance,velocity_band4_total_distance,velocity_band5_total_distance,acceleration_band1_total_effort_count,acceleration_band2_total_effort_count,acceleration_band3_total_effort_count,acceleration_band4_total_effort_count,acceleration_band5_total_effort_count,acceleration_band1_total_distance,acceleration_band2_total_distance,acceleration_band3_total_distance,acceleration_band4_total_distance,acceleration_band5_total_distance,deceleration_band1_total_effort_count,deceleration_band2_total_effort_count,deceleration_band3_total_effort_count,deceleration_band4_total_effort_count,deceleration_band5_total_effort_count,deceleration_band1_total_distance,deceleration_band2_total_distance,deceleration_band3_total_distance,deceleration_band4_total_distance,deceleration_band5_total_distance,metabolic_power_band1_total_distance,metabolic_power_band2_total_distance,metabolic_power_band3_total_distance,metabolic_power_band4_total_distance,metabolic_power_band5_total_distance
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,95ae1904-86c3-52a5-8f2e-d53bbd32162a,Aboubaka Soumahoro,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1003.66,56.33,106.9,6.2,6.0,25.26,-5.181,0.449,525.76,377.18,84.97,14.68,1.07,0,3,1,1,5,0.0,3.6,1.6,2.0,12.0,1,1,4,1,1,0.7,1.1,6.0,1.9,2.3,409.76,364.25,206.19,23.46,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,fc2486f8-7e33-5f3e-abd8-e4c94c90d416,Albert-Mboyo Sambi Lokonga,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1116.64,62.68,110.14,6.2,6.18,25.5,-5.181,0.505,584.95,419.64,94.54,16.33,1.19,1,1,1,1,1,0.8,1.2,1.6,2.0,2.4,3,3,1,1,1,2.1,3.3,1.5,1.9,2.3,578.89,393.55,142.61,1.6,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,55b9d027-e3db-51ee-8cd4-17064f8ba15f,Alexander Rössing-Lelesiit,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1072.65,60.21,106.9,6.2,6.0,25.41,-5.181,0.786,561.9,403.1,90.81,15.68,1.14,0,1,5,2,4,0.0,1.2,8.0,4.0,9.6,7,1,1,3,2,4.9,1.1,1.5,5.7,4.6,554.34,443.73,66.74,7.84,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,8e6dd9d6-6a86-5dc0-b865-7b4fcc1a163b,Bakery Jatta,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1121.49,62.95,111.09,6.2,6.24,25.51,-5.181,0.337,587.49,421.46,94.95,16.4,1.19,1,1,3,2,2,0.8,1.2,4.8,4.0,4.8,0,1,3,2,0,0.0,1.1,4.5,3.8,0.0,728.92,339.98,52.17,0.41,0.01
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,1b93371d-65bb-538f-95b6-5487d58fa88b,Daniel Elfadli,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1124.66,63.13,111.72,6.2,6.27,25.52,-5.181,0.73,589.15,422.65,95.22,16.45,1.2,1,0,4,1,0,0.8,0.0,6.4,2.0,0.0,2,3,6,1,1,1.4,3.3,9.0,1.9,2.3,603.88,439.75,52.18,27.07,1.78
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,ac324a11-03a0-545a-b72d-dd1fafda2231,Daniel Heuer Fernandes,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1096.65,61.55,106.9,6.2,6.0,25.46,-5.181,0.393,574.48,412.12,92.85,16.04,1.17,0,3,2,1,0,0.0,3.6,3.2,2.0,0.0,1,1,2,2,1,0.7,1.1,3.0,3.8,2.3,462.27,494.85,134.7,4.81,0.02
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,cf2dfcfd-a650-5e79-a319-d89d6914d89a,Emir Sahiti,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1075.16,60.35,106.9,6.2,6.0,25.41,-5.181,0.281,563.22,404.05,91.03,15.72,1.15,2,2,3,0,3,1.6,2.4,4.8,0.0,7.2,1,1,1,1,1,0.7,1.1,1.5,1.9,2.3,535.35,395.02,142.5,2.29,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,8f6ccf12-fd6b-5c26-8ff2-04965141ea7e,Fabio Amado Uri Baldé,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1187.61,66.66,124.58,6.2,6.99,25.65,-5.181,0.73,622.13,446.31,100.55,17.37,1.27,3,0,1,0,1,2.4,0.0,1.6,0.0,2.4,2,4,4,1,2,1.4,4.4,6.0,1.9,4.6,610.44,513.74,63.14,0.31,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,2f3ec6e8-8ce7-5595-929b-163b72394d2f,Fábio Daniel Ferreira Vieira,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1154.38,64.79,117.71,6.2,6.61,25.58,-5.181,0.73,604.72,433.82,97.73,16.88,1.23,2,1,5,1,0,1.6,1.2,8.0,2.0,0.0,1,3,3,4,2,0.7,3.3,4.5,7.6,4.6,669.54,382.24,44.19,58.42,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,a294c09f-5493-5391-8768-b73f08ffa947,Giorgi Gocholeishvili,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1086.16,60.97,106.9,6.2,6.0,25.43,-5.181,0.393,568.98,408.18,91.96,15.88,1.16,1,1,2,0,1,0.8,1.2,3.2,0.0,2.4,1,1,2,1,2,0.7,1.1,3.0,1.9,4.6,707.48,340.5,35.35,2.83,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,a267d7f4-5c76-5812-96f3-e725ae58cba0,Guilherme Magro Pires Ramos,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1029.47,57.78,106.9,6.2,6.0,25.31,-5.181,0.337,539.28,386.88,87.16,15.05,1.1,3,5,2,4,2,2.4,6.0,3.2,8.0,4.8,0,0,3,1,2,0.0,0.0,4.5,1.9,4.6,568.1,405.74,55.6,0.02,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,90e85a2d-6464-57dd-82b7-99b4704ffad6,Immanuël-Johannes Pherai,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1189.24,66.75,124.92,6.2,7.01,25.65,-5.181,0.617,622.98,446.92,100.69,17.39,1.27,0,3,2,1,0,0.0,3.6,3.2,2.0,0.0,3,1,2,3,2,2.1,1.1,3.0,5.7,4.6,800.39,317.25,52.9,18.03,0.67
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,d2862e37-fae2-564f-b8d2-d69488fde844,Jean-Luc Mamadou Diarra Dompé,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1267.95,71.17,142.0,6.2,7.97,25.82,-5.181,0.617,664.21,476.5,107.35,18.54,1.35,0,1,1,1,1,0.0,1.2,1.6,2.0,2.4,1,1,3,5,1,0.7,1.1,4.5,9.5,2.3,879.14,305.79,82.6,0.42,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,23779647-72ef-5733-871d-521f3174b515,Jonas Meffert,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1191.28,66.87,125.35,6.2,7.04,25.66,-5.181,0.449,624.05,447.69,100.86,17.42,1.27,1,1,3,0,0,0.8,1.2,4.8,0.0,0.0,1,2,3,1,1,0.7,2.2,4.5,1.9,2.3,525.62,563.91,89.88,11.64,0.24
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,1e9105f0-9d60-56d6-adc1-48e03b1e3905,Jordan Torunarigha,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1150.92,64.6,117.0,6.2,6.57,25.57,-5.181,0.393,602.91,432.52,97.44,16.83,1.23,1,1,2,2,1,0.8,1.2,3.2,4.0,2.4,0,2,3,1,1,0.0,2.2,4.5,1.9,2.3,497.21,504.46,139.17,10.09,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,b001e085-3aa8-55be-a560-112941f505b9,Luka Vušković,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1130.66,63.46,112.92,6.2,6.34,25.53,-5.181,0.561,592.29,424.9,95.73,16.53,1.2,1,1,1,4,2,0.8,1.2,1.6,8.0,4.8,1,3,3,2,1,0.7,3.3,4.5,3.8,2.3,531.48,542.89,31.51,1.87,22.91
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,c6244b04-da0b-5427-bd9c-c1a850306312,Miro Max Maria Muheim,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1206.98,67.75,128.68,6.2,7.22,25.69,-5.181,0.505,632.27,453.59,102.19,17.65,1.29,2,2,5,0,1,1.6,2.4,8.0,0.0,2.4,3,1,3,1,1,2.1,1.1,4.5,1.9,2.3,648.23,454.56,45.1,59.09,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,550d2238-be79-5f47-b2dc-bf596b4b6d63,Nicolai Remberg,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1093.3,61.37,106.9,6.2,6.0,25.45,-5.181,0.786,572.72,410.86,92.56,15.99,1.16,2,3,1,2,1,1.6,3.6,1.6,4.0,2.4,4,1,5,3,1,2.8,1.1,7.5,5.7,2.3,618.86,346.39,126.36,1.61,0.08
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,3705b196-2273-5d3d-9240-63e92afcd147,Nicolas Capaldo Taboas,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1212.92,68.08,129.94,6.2,7.29,25.7,-5.181,0.225,635.38,455.82,102.69,17.74,1.29,1,1,1,1,0,0.8,1.2,1.6,2.0,0.0,1,1,1,1,0,0.7,1.1,1.5,1.9,0.0,740.03,336.58,95.51,40.8,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,58e010e0-f164-5c45-baa2-842470e2a8fd,Otto Emerson Stange,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1296.66,72.78,148.51,6.2,8.34,25.88,-5.181,0.786,679.25,487.29,109.78,18.96,1.38,4,2,2,1,1,3.2,2.4,3.2,2.0,2.4,8,1,2,3,0,5.6,1.1,3.0,5.7,0.0,553.62,491.41,183.71,1.1,66.81
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,9ae35147-6b37-56c5-8ac7-633dff8f632b,Ransford-Yeboah Königsdörffer,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1140.57,64.02,114.91,6.2,6.45,25.55,-5.181,0.393,597.49,428.63,96.57,16.68,1.22,3,4,1,0,2,2.4,4.8,1.6,0.0,4.8,2,1,2,1,1,1.4,1.1,3.0,1.9,2.3,609.02,308.41,200.64,22.43,0.06
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,3afd7679-96bb-56e6-ad29-4894bd41afc7,Rayan Philippe,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1077.89,60.5,106.9,6.2,6.0,25.42,-5.181,0.449,564.65,405.07,91.26,15.76,1.15,1,4,1,0,0,0.8,4.8,1.6,0.0,0.0,2,1,2,1,2,1.4,1.1,3.0,1.9,4.6,721.64,281.9,63.58,10.66,0.11
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,65db2ac6-5cec-50e2-8f5b-9bccf3f4ad67,Robert-Nesta Glatzel,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,973.75,54.66,106.9,6.2,6.0,25.2,-5.181,0.674,510.09,365.94,82.44,14.24,1.04,1,2,2,2,3,0.8,2.4,3.2,4.0,7.2,6,1,0,3,2,4.2,1.1,0.0,5.7,4.6,475.64,429.31,67.85,0.94,0.01
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,0316899c-ba4c-5ffd-946c-e3d6eab98ffd,Warmed Omari,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1027.58,57.68,106.9,6.2,6.0,25.31,-5.181,0.449,538.29,386.17,87.0,15.03,1.09,2,0,2,1,1,1.6,0.0,3.2,2.0,2.4,2,3,1,1,1,1.4,3.3,1.5,1.9,2.3,590.89,368.82,23.98,43.87,0.01
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,70684987-8d8f-58e5-bb8a-60fc515f8e2e,William Mikelbrencis,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1282.77,72.0,145.34,6.2,8.16,25.85,-5.181,0.449,671.98,482.07,108.6,18.76,1.37,0,3,2,1,6,0.0,3.6,3.2,2.0,14.4,1,1,3,2,1,0.7,1.1,4.5,3.8,2.3,636.93,520.29,100.18,25.38,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,0b6885b4-5bdd-576c-8948-ae3e68c04f79,Yussuf Yurary Poulsen,Training MD-4,2e1dac97-469c-55fd-a0ff-5d0a26ae0af1,Aktivierung 03,activation,1755689569.83,1755690638.79,1068.97,1068.97,1171.82,65.77,121.29,6.2,6.81,25.62,-5.181,0.73,613.85,440.37,99.21,17.13,1.25,2,1,2,2,1,1.6,1.2,3.2,4.0,2.4,1,5,3,3,1,0.7,5.5,4.5,5.7,2.3,618.14,365.66,122.35,65.67,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,95ae1904-86c3-52a5-8f2e-d53bbd32162a,Aboubaka Soumahoro,Training MD-4,c925686a-6022-5c2d-a209-d0171034968f,Rondo 1,rondo,1755690638.79,1755691707.76,1068.97,1068.97,1247.18,70.0,123.65,6.91,6.94,27.01,-5.587,0.842,474.75,522.44,169.52,25.19,55.28,2,3,5,3,0,1.6,3.6,8.0,6.0,0.0,2,6,2,5,0,1.4,6.6,3.0,9.5,0.0,482.36,508.66,205.34,28.89,21.94
