Activity_ID,date,date_iso,label,team_name,athlete_id,athlete_name,activity_name,period_id,period_name,content_type,start_time,end_time,field_time,total_duration,total_distance,meterage_per_minute,total_player_load,peak_player_load,player_load_per_minute,max_vel,max_effort_deceleration,deceleration_per_minute,velocity_band1_total_distance,velocity_band2_total_distance,velocity_band3_total_distance,velocity_band4_total_distance,velocity_band5_total_distance,acceleration_band1_total_effort_count,acceleration_band2_total_effort_count,acceleration_band3_total_effort_count,acceleration_band4_total_effort_count,acceleration_band5_total_effort_count,acceleration_band1_total_distance,acceleration_band2_total_distance,acceleration_band3_total_distance,acceleration_band4_total_distance,acceleration_band5_total_distance,deceleration_band1_total_effort_count,deceleration_band2_total_effort_count,deceleration_band3_total_effort_count,deceleration_band4_total_effort_count,deceleration_band5_total_effort_count,deceleration_band1_total_distance,deceleration_band2_total_distance,deceleration_band3_total_distance,deceleration_band4_total_distance,deceleration_band5_total_distance,metabolic_power_band1_total_distance,metabolic_power_band2_total_distance,metabolic_power_band3_total_distance,metabolic_power_band4_total_distance,metabolic_power_band5_total_distance
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,95ae1904-86c3-52a5-8f2e-d53bbd32162a,Aboubaka Soumahoro,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1530.86,81.62,164.66,6.2,8.78,25.71,-5.181,0.213,801.94,575.3,129.61,22.38,1.63,0,2,1,1,1,0.0,2.4,1.6,2.0,2.4,1,1,2,0,0,0.7,1.1,3.0,0.0,0.0,822.88,546.87,151.59,9.52,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,fc2486f8-7e33-5f3e-abd8-e4c94c90d416,Albert-Mboyo Sambi Lokonga,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1363.43,72.69,130.61,6.2,6.96,25.43,-5.181,0.586,714.23,512.38,115.43,19.94,1.45,1,2,2,2,0,0.8,2.4,3.2,4.0,0.0,2,2,6,1,0,1.4,2.2,9.0,1.9,0.0,656.31,584.25,80.22,42.65,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,55b9d027-e3db-51ee-8cd4-17064f8ba15f,Alexander Rössing-Lelesiit,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1319.18,70.33,122.27,6.2,6.52,25.36,-5.181,0.48,691.05,495.75,111.69,19.29,1.41,1,1,2,3,0,0.8,1.2,3.2,6.0,0.0,1,2,5,1,0,0.7,2.2,7.5,1.9,0.0,786.69,459.89,18.82,53.79,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,8e6dd9d6-6a86-5dc0-b865-7b4fcc1a163b,Bakery Jatta,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1463.99,78.05,150.59,6.2,8.03,25.6,-5.181,0.533,766.91,550.17,123.95,21.41,1.56,1,2,2,1,2,0.8,2.4,3.2,2.0,4.8,2,1,6,1,0,1.4,1.1,9.0,1.9,0.0,788.01,603.29,55.48,17.22,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,1b93371d-65bb-538f-95b6-5487d58fa88b,Daniel Elfadli,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1538.29,82.02,166.26,6.2,8.86,25.73,-5.181,0.586,805.83,578.09,130.24,22.49,1.64,1,1,1,2,2,0.8,1.2,1.6,4.0,4.8,2,1,0,5,3,1.4,1.1,0.0,9.5,6.9,661.39,777.33,56.02,43.56,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,ac324a11-03a0-545a-b72d-dd1fafda2231,Daniel Heuer Fernandes,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1256.91,67.01,112.54,6.2,6.0,25.25,-5.181,0.586,658.43,472.35,106.41,18.38,1.34,1,2,1,2,1,0.8,2.4,1.6,4.0,2.4,1,1,4,2,3,0.7,1.1,6.0,3.8,6.9,837.31,341.43,69.86,8.31,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,cf2dfcfd-a650-5e79-a319-d89d6914d89a,Emir Sahiti,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1346.91,71.81,127.46,6.2,6.8,25.4,-5.181,0.533,705.57,506.17,114.03,19.7,1.44,1,1,0,0,1,0.8,1.2,0.0,0.0,2.4,1,4,3,1,1,0.7,4.4,4.5,1.9,2.3,690.76,346.19,104.91,204.95,0.1
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,8f6ccf12-fd6b-5c26-8ff2-04965141ea7e,Fabio Amado Uri Baldé,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1467.35,78.23,151.28,6.2,8.07,25.61,-5.181,0.533,768.66,551.43,124.23,21.46,1.56,1,3,0,1,0,0.8,3.6,0.0,2.0,0.0,2,5,1,1,1,1.4,5.5,1.5,1.9,2.3,780.82,495.1,187.92,3.51,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,2f3ec6e8-8ce7-5595-929b-163b72394d2f,Fábio Daniel Ferreira Vieira,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1352.98,72.14,128.62,6.2,6.86,25.41,-5.181,0.96,708.75,508.45,114.55,19.78,1.44,1,3,2,0,0,0.8,3.6,3.2,0.0,0.0,3,3,3,3,6,2.1,3.3,4.5,5.7,13.8,702.45,527.16,58.78,64.59,0.0
df12f821-3655-577f-9015-596a29297cad,20/08/2025,2025-08-20,MD-4,Hamburger SV,a294c09f-5493-5391-8768-b73f08ffa947,Giorgi Gocholeishvili,Training MD-4,d36bee9b-cf59-558e-92d4-5830b811d084,Aktivierung 1,activation,1755689483.81,1755690609.18,1125.37,1125.37,1477.41,78.77,153.36,6.2,8.18,25.62,-5.181,0.533,773.94,555.21,125.08,21.6,1.57,1,2,0,3,1,0.8,2.4,0.0,6.0,2.4,2,2,1,4,1,1.4,2.2,1.5,7.6,2.3,639.14,726.8,90.32,21.16,0.0
